DEPTID|UFID|JOBCODE|SAL_ADMIN_PLAN|START_DATE|END_DATE|JOBCODE_DESCRIPTION|HR_POSITION
23010100|84909129|67|OF12|2013-07-01|NULL|ADJ LECTURER|1
28313500|87346148|1568|TU2N|2004-01-28|NULL|VETERINARY TECH 2|1
10020000|85333718|1404|TA12|2005-01-03|NULL|INFO/PUBLICATIONS SVCS, CRD 4|1
17030100|89269842|1573|OF12|2010-07-06|NULL|ACADEMIC LUMP SUM PAYMENT|1
60060000|86913671|1479|OPSN|2010-06-03|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28090000|89850030|937|TU2N|2003-11-07|NULL|LABORATORY TECH|1
29290100|81965875|1479|OPSN|2012-06-18|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52010000|87647670|1573|OF12|2006-08-29|NULL|ACADEMIC LUMP SUM PAYMENT|1
71010000|88939471|937|TU2N|2012-10-12|NULL|LABORATORY TECH|1
60470000|88975600|1479|OPSN|2012-08-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29290100|80111101|1479|OPSN|2014-03-19|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
31020100|83639426|1479|OPSN|2013-10-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
11300000|81975534|939|TU2E|2012-08-31|NULL|BIOLOGICAL SCIENTIST|1
18050000|80205200|67|OF12|2005-05-16|NULL|ADJ LECTURER|1
20010000|88640140|1573|OF12|2012-05-15|NULL|ACADEMIC LUMP SUM PAYMENT|1
60351066|86948050|434|FA12|1993-04-23|NULL|EXT AGENT III|1
29120000|86997440|789|FACM|1990-07-01|NULL|CLIN PROF|1
29092200|87314998|743|CTSY|2014-01-01|NULL|CO AST PROF|1
02120000|86832164|1573|OPSN|2008-08-15|NULL|ACADEMIC LUMP SUM PAYMENT|1
28311100|81731665|1568|TU2N|2013-07-22|NULL|VETERINARY TECH 2|1
18050000|87999663|67|OF09|2013-08-16|NULL|ADJ LECTURER|1
60451000|89699595|816|TU2N|2013-08-19|NULL|EXTENSION PROGRAM AST|1
60730000|89422570|743|CTSY|1989-03-01|NULL|CO AST PROF|1
23010100|84909129|67|OF12|2012-08-16|NULL|ADJ LECTURER|1
29290100|83551380|1573|OF12|2013-03-08|NULL|ACADEMIC LUMP SUM PAYMENT|1
12020100|81283379|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
11010000|89074670|1573|OF12|2009-04-03|NULL|ACADEMIC LUMP SUM PAYMENT|1
29091700|88676490|938|TU2N|2002-01-18|NULL|LABORATORY TECH, SR|1
34170200|81813491|729|CTSY|2013-12-06|NULL|CO SCHOLAR|1
63550500|86446520|1043|TU2N|2001-06-25|NULL|PLUMBER|1
20010000|88640140|1573|OF12|2013-05-24|NULL|ACADEMIC LUMP SUM PAYMENT|1
11010000|86602187|1573|OF12|2014-05-14|NULL|ACADEMIC LUMP SUM PAYMENT|1
60871100|81922170|1479|OPSN|2010-07-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16900100|85463265|1479|OPSN|2008-08-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60732000|89115729|1479|OPSN|2012-10-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
02120000|84613701|1573|GA12|2013-07-24|NULL|ACADEMIC LUMP SUM PAYMENT|1
12020100|80678837|396|FELL|2010-08-16|NULL|PREDOC FELLOWSHIP|1
16309001|89101848|67|OF12|2010-05-14|NULL|ADJ LECTURER|1
29010500|81630160|1476|TA12|1997-08-25|NULL|IT EXPERT|1
29051402|83108690|908|TU2N|2003-03-14|NULL|PROGRAM AST|1
28090000|81359169|1479|OPSN|2013-09-09|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19221000|88481440|908|TU2N|1993-08-27|NULL|PROGRAM AST|1
32080200|89193935|1573|OF12|2014-03-12|NULL|ACADEMIC LUMP SUM PAYMENT|1
10020000|80067200|1373|TA12|2002-11-25|NULL|COMPUTER APPLICATIONS, CRD 2|1
16200100|85660318|537|GA09|2008-08-16|NULL|GRADUATE TCH ASO|1
60451000|86948043|816|TU2N|2011-10-14|NULL|EXTENSION PROGRAM AST|1
60170000|85989351|396|FELL|2008-09-05|NULL|PREDOC FELLOWSHIP|1
04040000|83690391|1479|OPSN|2014-05-19|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
04020000|89918844|1479|OPSN|2011-06-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
04080300|89826410|1261|TA12|2010-05-10|NULL|STUDENT AFFAIRS, , CRD 1|1
29030000|88720180|1573|OF12|2007-01-18|NULL|ACADEMIC LUMP SUM PAYMENT|1
20010000|89380250|1573|OF12|2014-05-27|NULL|ACADEMIC LUMP SUM PAYMENT|1
57140100|89094659|1479|OPSN|2012-08-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29051402|89213117|1479|OPSN|2013-05-13|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29110000|82161383|1479|OPSN|2013-06-03|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16900100|81790071|1479|OPSN|2013-03-11|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60910000|89363618|1479|OPSN|2013-12-02|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60080000|82332131|396|FELL|2013-08-16|NULL|PREDOC FELLOWSHIP|1
33030000|89118436|1573|GA12|2013-05-16|NULL|ACADEMIC LUMP SUM PAYMENT|1
29092500|88966330|1479|OPSN|2010-01-29|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
02120000|85931421|1573|GA12|2013-07-24|NULL|ACADEMIC LUMP SUM PAYMENT|1
18010000|81455121|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
32030000|89664560|820|TU2N|1985-04-08|NULL|OFFICE MGR|1
24150000|83126390|396|FELL|2013-06-07|NULL|PREDOC FELLOWSHIP|1
19020000|85452397|1479|OPSN|2013-05-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
23010200|86559596|67|OFSU|2014-05-16|NULL|ADJ LECTURER|1
32060000|89706998|1479|OPSN|2014-07-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16309001|89219480|1479|OPSN|2012-05-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
17050300|80616230|1573|OF12|1979-07-01|NULL|ACADEMIC LUMP SUM PAYMENT|1
11010000|82790750|1573|OF12|2009-06-24|NULL|ACADEMIC LUMP SUM PAYMENT|1
60080000|81748441|1479|OPSN|2011-08-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
56010200|82915570|1479|OPSN|2012-07-12|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
33070000|84571876|396|FELL|2013-10-10|NULL|PREDOC FELLOWSHIP|1
20010000|88640140|1573|OF12|2014-05-19|NULL|ACADEMIC LUMP SUM PAYMENT|1
34130103|82138329|178|CTSY|2014-07-01|NULL|CO CLIN POSTDOC ASO|1
19050000|80977763|729|CTSY|2014-04-21|NULL|CO SCHOLAR|1
29120000|82954465|294|HOUS|2011-07-01|NULL|CHIEF RESIDENT|1
34070101|83296519|1479|OPSN|2014-06-13|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28090000|83006051|1479|OPSN|2014-02-25|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30150000|83479626|182|CTSY|2013-05-10|NULL|CO CLIN PROF|1
60440000|80758441|1327|TA12|2003-01-06|NULL|EDUC MEDIA/COMMUNIC, CRD 3|1
57140100|88212730|141|CTSY|2014-04-18|NULL|AFFL LECTURER|1
12020900|82119058|396|FELL|2013-08-16|NULL|PREDOC FELLOWSHIP|1
60732000|88232010|1479|OPSN|2004-06-18|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
13050000|89035320|1573|OF12|2012-06-08|NULL|ACADEMIC LUMP SUM PAYMENT|1
04030000|83649570|54|OF12|1967-09-01|NULL|ADJ PROF|1
12020100|85195939|396|FELL|2011-07-01|NULL|PREDOC FELLOWSHIP|1
23030000|84909129|67|OF09|2011-08-16|NULL|ADJ LECTURER|1
18050000|84188131|1479|OPSN|2013-05-23|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
07700100|81871907|1479|OPSN|2013-07-19|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28090000|89850030|1479|OPSN|2007-10-19|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60460000|83293320|1479|OPSN|2013-01-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29050700|89940159|291|FACM|2011-09-25|NULL|CHIEF & PROF|1
12010000|82906673|1573|GA12|2011-09-26|NULL|ACADEMIC LUMP SUM PAYMENT|1
32080400|83100847|1573|OF12|2012-09-07|NULL|ACADEMIC LUMP SUM PAYMENT|1
32080400|83939590|1573|OF12|2010-03-25|NULL|ACADEMIC LUMP SUM PAYMENT|1
52010000|80572970|1573|OF12|2005-08-26|NULL|ACADEMIC LUMP SUM PAYMENT|1
04020000|80433165|1479|OPSN|2011-01-27|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28050000|88913766|1479|OPSN|2014-02-28|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28090000|80249092|1479|OPSN|2013-02-22|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
04020000|88491404|1429|TA12|2008-10-30|NULL|STUDENT AFFAIRS, ASO DIR 4|1
26050100|80205200|67|OF09|2004-06-18|NULL|ADJ LECTURER|1
18080000|84332104|67|OFSU|2014-05-16|NULL|ADJ LECTURER|1
60210000|89113748|1479|OPSN|2014-01-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32060000|87740987|1479|OPSN|2014-03-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60030000|89214948|908|TU2N|2008-03-05|NULL|PROGRAM AST|1
60733000|86519391|1479|OPSN|2003-08-28|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
33070100|84906160|743|CTSY|1981-01-01|NULL|CO AST PROF|1
16040100|85792800|396|FELL|2012-08-31|NULL|PREDOC FELLOWSHIP|1
07570000|86675879|1479|OPSN|2013-08-30|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60100000|81514313|1479|OPSN|2009-10-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
34010303|86305880|908|TU2N|2000-03-01|NULL|PROGRAM AST|1
16040100|85195939|396|FELL|2013-09-05|NULL|PREDOC FELLOWSHIP|1
56030100|84437943|1479|OPSN|2013-08-22|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16060100|84878682|1479|OPSN|2009-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16200100|89492112|396|FELL|2012-08-31|NULL|PREDOC FELLOWSHIP|1
11700000|87019910|1573|OF12|2013-08-30|NULL|ACADEMIC LUMP SUM PAYMENT|1
60850000|83436063|1479|OPSN|2008-02-26|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29050401|84281259|908|TU2N|2014-05-21|NULL|PROGRAM AST|1
29290100|80823340|1479|OPSN|1996-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28319000|88851531|908|TU2N|2012-03-05|NULL|PROGRAM AST|1
29020100|87701026|1479|OPSN|2014-05-12|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16600000|82958110|131|CTSY|2009-04-10|NULL|AFFL ASO SCHOLAR|1
60015002|83768030|1801|TA12|1988-12-01|NULL|BUSINESS ADMIN SPECIALIST III|1
35040200|89106020|1338|TA12|2002-03-01|NULL|PHARMACY MGR 5|1
05280000|81851069|1066|TU2N|2010-02-19|NULL|CUSTODIAL SPV|1
04020000|85982945|1479|OPSN|2011-04-26|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60080000|86548712|1479|OPSN|2013-11-08|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60096000|80999559|1479|OPSN|2014-05-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60740000|89699858|1479|OPSN|2012-08-30|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
33010000|84734330|827|TU2N|1985-10-30|NULL|PROPERTY MGR|1
32060000|85408150|805|TU2N|1990-07-16|NULL|SECRETARY, SR|1
60351062|86885930|434|FA12|1997-05-16|NULL|EXT AGENT III|1
19050000|85592330|908|TU2N|1996-04-08|NULL|PROGRAM AST|1
19220200|80192820|908|US2N|1992-12-21|NULL|PROGRAM AST|1
73030000|86516002|1479|OPSN|2012-08-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29092800|85583330|938|US2N|1999-09-03|NULL|LABORATORY TECH, SR|1
16309001|85221194|1479|OPSN|2011-09-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29180300|83934446|1479|OPSN|2011-01-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29040100|83535857|294|HOUS|2011-07-01|NULL|CHIEF RESIDENT|1
62060100|83296981|1479|OPSN|2013-06-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60460000|80981541|1479|OPSN|2009-05-29|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29050903|88124364|1479|OPSN|2013-04-29|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28323000|80221989|1568|TU2N|2006-07-21|NULL|VETERINARY TECH 2|1
16200000|86480670|897|TU2E|2004-09-20|NULL|EDITOR|1
29130000|89666579|1479|OPSN|2012-05-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18180500|87162364|1573|OF12|2008-01-07|NULL|ACADEMIC LUMP SUM PAYMENT|1
60470000|83823901|1479|OPSN|2013-02-06|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60100000|88499779|1479|OPSN|2014-02-24|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60060000|81375711|1479|OPSN|2012-08-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29090700|83481523|1479|OPSN|2014-06-13|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29260100|83959500|1479|OPSN|2014-05-28|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32080200|88739870|1573|OF12|2010-10-08|NULL|ACADEMIC LUMP SUM PAYMENT|1
19090100|87975490|54|OF12|2008-03-01|NULL|ADJ PROF|1
27010711|84339350|1250|TA12|2000-08-01|NULL|MEDICAL/HLTH ADMIN, DIR 4|1
60460000|89864850|1479|OPSN|2006-03-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60070000|81766943|1479|OPSN|2011-11-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60140000|80679841|743|CTSY|2006-09-21|NULL|CO AST PROF|1
12020500|81171547|396|FELL|2013-06-26|NULL|PREDOC FELLOWSHIP|1
62010300|86879900|1201|TA12|1999-08-30|NULL|HUMAN RESOURCES, DIRECTOR 6|1
34160100|82523810|805|TU2N|1983-08-17|NULL|SECRETARY, SR|1
60850000|85118153|1479|OPSN|2006-04-27|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
04080100|84029650|820|TU2N|1992-08-03|NULL|OFFICE MGR|1
56021700|89167530|511|FA09|2000-10-16|NULL|DIS PROF|1
30090000|83512864|1334|TA12|2013-09-06|NULL|CLINICAL PROGRAMS, CRD 2|1
13040100|83909880|1573|OF12|2010-12-10|NULL|ACADEMIC LUMP SUM PAYMENT|1
16200000|82486515|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
60751000|81433714|1446|TA12|2012-05-25|NULL|BUSINESS MGR 3|1
13030000|83960163|67|OF09|2014-01-01|NULL|ADJ LECTURER|1
28050000|88444308|1479|OPSN|2004-05-30|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16580100|87609929|537|GASU|2005-08-16|NULL|GRADUATE TCH ASO|1
60090000|84111046|1479|OPSN|2014-05-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
20010000|87850945|1479|OPSN|2011-05-17|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28090000|81349709|1479|OPSN|2014-06-06|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60754300|81093106|1479|OPSN|2009-10-12|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
08060200|81958341|1479|OPSN|2012-08-24|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
02040000|85385800|67|OFSU|2006-07-01|NULL|ADJ LECTURER|1
11010000|84215100|1573|OF12|2014-05-13|NULL|ACADEMIC LUMP SUM PAYMENT|1
16400100|89189286|1479|OPSN|2014-05-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60733000|80263010|929|US2E|1990-08-21|NULL|ENGINEERING TECH, SR|1
60700000|81183629|538|GA12|2012-09-28|NULL|GRADUATE RES AST|1
29680100|89414951|908|TU2N|2011-05-23|NULL|PROGRAM AST|1
34160200|89811759|938|TU2N|2012-02-27|NULL|LABORATORY TECH, SR|1
52010000|84383948|1573|OF12|2013-10-25|NULL|ACADEMIC LUMP SUM PAYMENT|1
32060000|83117145|1476|TA12|2014-06-02|NULL|IT EXPERT|1
29130000|82765460|789|FACM|2004-06-18|NULL|CLIN PROF|1
60910000|81611913|1479|OPSN|2012-12-21|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32060000|83812134|1479|OPSN|2014-05-02|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29310200|89477400|908|TU2N|2009-12-18|NULL|PROGRAM AST|1
18050000|81615919|67|OF09|2011-08-16|NULL|ADJ LECTURER|1
11010000|85039540|1573|OF12|2006-04-25|NULL|ACADEMIC LUMP SUM PAYMENT|1
24040100|83113543|1479|OPSN|2008-08-04|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
04050000|85829910|1164|TA12|2002-08-30|NULL|EDUC/TRAINING PROGS, CRD 1|1
23010200|81816519|67|OF09|2013-01-01|NULL|ADJ LECTURER|1
19020000|81871909|1479|OPSN|2014-05-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18180000|89616959|1479|OPSN|2014-04-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29040100|82360179|743|CTSY|2012-08-13|NULL|CO AST PROF|1
60731000|89661821|1479|OPSN|2012-05-02|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
14900100|84371498|1479|OPSN|2013-06-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
20010000|86476370|1573|OF12|2005-05-06|NULL|ACADEMIC LUMP SUM PAYMENT|1
32060000|87806040|1479|OPSN|2010-10-04|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
56022301|81143921|1053|TU2N|2010-11-05|NULL|MAINTENANCE SPECIALIST|1
11300000|89782197|908|TU2N|2013-08-16|NULL|PROGRAM AST|1
26050100|87477660|1479|OPSN|2011-12-05|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18180000|85563828|1479|OPSN|2013-04-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52010000|82704590|1573|OF12|2012-09-28|NULL|ACADEMIC LUMP SUM PAYMENT|1
32060000|89501124|1479|OPSN|2014-02-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16360100|81891348|1479|OPSN|2010-02-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52010000|83875720|1573|OF12|2011-01-07|NULL|ACADEMIC LUMP SUM PAYMENT|1
60840000|82444274|1479|OPSN|2014-04-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60100000|88828040|1479|OPSN|2004-09-24|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29310201|88618650|908|TU2N|2001-08-03|NULL|PROGRAM AST|1
52010000|81515104|1573|OF12|2014-05-09|NULL|ACADEMIC LUMP SUM PAYMENT|1
17050100|89791486|538|GA09|2012-08-16|NULL|GRADUATE RES AST|1
17060100|81951600|1573|OF12|2006-05-19|NULL|ACADEMIC LUMP SUM PAYMENT|1
34080101|81979110|820|US2N|1993-03-29|NULL|OFFICE MGR|1
50010000|81315870|1181|TA12|2012-06-18|NULL|DEVELOPMENT/ALUMNI AFF, DIR 4|1
16240100|81406906|1479|OPSN|2013-05-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
56030100|80463939|1479|OPSN|2009-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
48000000|89115300|1476|TA12|2013-01-04|NULL|IT EXPERT|1
60790000|88158665|1479|OPSN|2012-07-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
18050000|81061113|67|OF09|2014-01-01|NULL|ADJ LECTURER|1
60460000|89421139|1479|OPSN|2014-05-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
15030100|84519570|1479|OPSN|2013-02-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
06030000|86294349|1484|FWSP|2011-09-12|NULL|STU AST - FEDERAL COMM SERVICE|1
04020000|80433165|1479|OPSN|2013-01-04|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60450000|82018900|816|TU2N|2012-06-25|NULL|EXTENSION PROGRAM AST|1
32060000|89365885|1479|OPSN|2010-10-25|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32050000|81515104|789|FA12|2011-05-02|NULL|CLIN PROF|1
16240000|81495750|820|TU2N|1998-05-06|NULL|OFFICE MGR|1
23030000|80387630|67|OF09|2006-08-11|NULL|ADJ LECTURER|1
34170402|89118416|178|CTSY|2014-07-01|NULL|CO CLIN POSTDOC ASO|1
20010000|89512310|1573|OF12|2004-09-24|NULL|ACADEMIC LUMP SUM PAYMENT|1
14200800|81504646|1746|TA12|2010-12-10|NULL|Systems Admin/Programmer 2|1
60210000|87072876|743|CTSY|2000-01-01|NULL|CO AST PROF|1
19140000|83694232|1479|OPSN|2013-05-03|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29010806|81389578|1573|HOUS|2014-04-04|NULL|ACADEMIC LUMP SUM PAYMENT|1
17220100|88313310|1573|OF12|2005-08-22|NULL|ACADEMIC LUMP SUM PAYMENT|1
16800100|81981671|67|OF09|2011-08-16|NULL|ADJ LECTURER|1
29700100|84191541|1479|OPSN|2014-05-12|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16200100|89541901|537|GASU|2014-07-01|NULL|GRADUATE TCH ASO|1
16220100|88499794|396|FELL|2012-09-14|NULL|PREDOC FELLOWSHIP|1
16580100|87609929|537|GA09|2009-05-16|NULL|GRADUATE TCH ASO|1
32040000|81244240|1479|OPSN|2006-05-08|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
33060000|85258840|743|CTSY|2000-01-01|NULL|CO AST PROF|1
60351017|83252150|434|FA12|1996-06-14|NULL|EXT AGENT III|1
73010000|86516002|908|TU2N|2009-09-04|NULL|PROGRAM AST|1
29050400|88511242|1573|OF12|2013-05-01|NULL|ACADEMIC LUMP SUM PAYMENT|1
17070100|87296810|1479|OPSN|2004-06-18|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
34100300|89748890|1479|OPSN|2009-02-13|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60780000|83811242|1479|OPSN|2014-01-31|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32060300|86915142|141|CTSY|2008-10-28|NULL|AFFL LECTURER|1
35010900|86824560|797|TU2N|2002-08-19|NULL|CLERK|1
16980300|80249466|1479|OPSN|2007-04-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
14800000|81811671|1833|TA12|2013-09-03|NULL|IT ANALYST 1|1
28321000|87014415|1479|OPSN|2014-04-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60180000|85148358|1479|OPSN|2012-03-26|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16040100|81007700|743|CTSY|2008-10-03|NULL|CO AST PROF|1
13020100|81898148|1479|OPSN|2010-12-13|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16920000|81445109|396|FELL|2012-08-16|NULL|PREDOC FELLOWSHIP|1
60731000|88119553|1479|OPSN|2013-10-07|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29040100|82943289|1479|OPSN|2014-06-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
02030000|88371910|1573|OF12|2014-06-03|NULL|ACADEMIC LUMP SUM PAYMENT|1
60470000|88017231|396|FELL|2012-11-02|NULL|PREDOC FELLOWSHIP|1
29150000|89480180|908|US2N|1980-08-21|NULL|PROGRAM AST|1
17080100|80961040|1573|OF12|2005-05-20|NULL|ACADEMIC LUMP SUM PAYMENT|1
60351020|86095376|1788|CTSY|2005-02-01|NULL|PROGRAM COUNTY EXT AGENT I|1
11210000|81203590|1345|TA12|1996-12-19|NULL|EDUC/TRAINING PROGS, CRD 3|1
60210000|88274930|743|CTSY|1997-03-07|NULL|CO AST PROF|1
